Date,Open,High,Low,Close,Adj Close,Volume
2014-05-06,2182.75,2205.75,2165.0,2172.75,2172.75,41
2014-05-07,2152.25,2152.25,2146.0,2149.0,2149.0,35
2014-05-08,2150.0,2150.0,2130.0,2141.75,2141.75,25
2014-05-09,2133.5,2133.5,2107.25,2107.25,2107.25,14
2014-05-12,2086.0,2088.25,2086.0,2088.25,2088.25,4
2014-05-13,2085.25,2085.25,2085.25,2085.25,2085.25,0
2014-05-14,2110.0,2145.5,2110.0,2110.0,2110.0,3
2014-05-15,2142.75,2142.75,2115.5,2115.5,2115.5,6
2014-05-16,2106.25,2106.25,2106.25,2106.25,2106.25,0
2014-05-19,2113.75,2113.75,2113.75,2113.75,2113.75,0
2014-05-20,2106.75,2106.75,2106.75,2106.75,2106.75,0
2014-05-21,2106.75,2106.75,2106.75,2106.75,2106.75,21
2014-05-22,2123.0,2136.0,2123.0,2136.0,2136.0,15
2014-05-23,2154.75,2154.75,2150.0,2150.0,2150.0,10
2014-05-27,2159.25,2159.25,2158.0,2159.25,2159.25,16
2014-05-28,2171.5,2178.5,2174.25,2174.25,2174.25,11
2014-05-29,2179.25,2179.25,2179.25,2179.25,2179.25,0
2014-05-30,2177.25,2177.25,2177.25,2177.25,2177.25,14
2014-06-02,2186.0,2186.0,2186.0,2186.0,2186.0,0
2014-06-03,2204.0,2204.0,2198.0,2198.0,2198.0,7
2014-06-04,2189.75,2189.75,2189.75,2189.75,2189.75,0
2014-06-05,2201.0,2201.0,2201.0,2201.0,2201.0,20
2014-06-06,2222.25,2222.25,2222.25,2222.25,2222.25,0
2014-06-09,2261.75,2261.75,2257.0,2257.0,2257.0,5
2014-06-10,2250.75,2250.75,2250.75,2250.75,2250.75,31
2014-06-11,2224.5,2224.5,2222.25,2222.25,2222.25,3
2014-06-12,2183.0,2183.0,2183.0,2183.0,2183.0,0
2014-06-13,2190.25,2190.25,2190.25,2190.25,2190.25,0
2014-06-16,2192.5,2206.75,2192.5,2206.75,2206.75,10
2014-06-17,2196.25,2196.25,2190.75,2195.75,2195.75,21
2014-06-18,2211.0,2211.0,2211.0,2211.0,2211.0,0
2014-06-19,2225.75,2225.75,2225.75,2225.75,2225.75,35
2014-06-20,2221.5,2221.5,2221.5,2221.5,2221.5,0
2014-06-23,2238.25,2238.25,2231.25,2231.25,2231.25,24
2014-06-24,2247.5,2247.5,2247.5,2247.5,2247.5,29
2014-06-25,2245.75,2245.75,2235.75,2245.75,2245.75,14
2014-06-26,2241.75,2241.75,2241.75,2241.75,2241.75,8
2014-06-27,2233.25,2233.25,2233.25,2233.25,2233.25,0
2014-06-30,2242.25,2242.25,2242.25,2242.25,2242.25,0
2014-07-01,2234.25,2234.25,2234.25,2234.25,2234.25,0
2014-07-02,2268.5,2268.5,2268.5,2268.5,2268.5,0
2014-07-03,2281.25,2281.25,2281.25,2281.25,2281.25,0
2014-07-07,2267.5,2267.5,2267.5,2267.5,2267.5,0
2014-07-08,2280.25,2280.75,2280.25,2280.75,2280.75,21
2014-07-09,2278.5,2278.5,2278.5,2278.5,2278.5,0
2014-07-10,2249.75,2272.75,2249.75,2272.75,2272.75,5
